ImportKey,English,TurkishTranslations,PartOfSpeech,PastSimple,PastParticiple,IsIrregular,Level,Topic,TopicSortOrder,WordSortOrder,LearningGroupSortOrder
wm-000076,terrible,"{""berbat""}",Adjective,,,false,A1,Descriptions,2,46,10
wm-000078,true,"{""doğru"",""gerçek""}",Adjective,,,false,A1,Descriptions,2,47,10
wm-000081,wonderful,"{""harika"",""muhteşem""}",Adjective,,,false,A1,Descriptions,2,48,10
wm-000082,wrong,"{""yanlış""}",Adjective,,,false,A1,Descriptions,2,49,10
wm-000084,young,"{""genç""}",Adjective,,,false,A1,Descriptions,2,50,10
wm-000006,black,"{""siyah""}",Adjective,,,false,A1,Colors,3,1,1
wm-000007,blue,"{""mavi""}",Adjective,,,false,A1,Colors,3,2,1
wm-000009,brown,"{""kahverengi""}",Adjective,,,false,A1,Colors,3,3,1
wm-000035,green,"{""yeşil""}",Adjective,,,false,A1,Colors,3,4,1
wm-000054,orange,"{""turuncu""}",Adjective,,,false,A1,Colors,3,5,1
wm-000056,pink,"{""pembe""}",Adjective,,,false,A1,Colors,3,6,2
wm-000059,purple,"{""mor""}",Adjective,,,false,A1,Colors,3,7,2
wm-000063,red,"{""kırmızı""}",Adjective,,,false,A1,Colors,3,8,2
wm-000080,white,"{""beyaz""}",Adjective,,,false,A1,Colors,3,9,2
wm-000083,yellow,"{""sarı""}",Adjective,,,false,A1,Colors,3,10,2
wm-000011,cheap,"{""ucuz""}",Adjective,,,false,A1,ShoppingAndMoney,4,1,1
wm-000026,expensive,"{""pahalı""}",Adjective,,,false,A1,ShoppingAndMoney,4,2,1
wm-000057,poor,"{""fakir""}",Adjective,,,false,A1,ShoppingAndMoney,4,3,1
wm-000064,rich,"{""zengin""}",Adjective,,,false,A1,ShoppingAndMoney,4,4,1
wm-000109,bank,"{""banka"",""kıyı""}",Noun,,,false,A1,ShoppingAndMoney,4,5,1
wm-000250,money,"{""para""}",Noun,,,false,A1,ShoppingAndMoney,4,6,2
wm-000313,shopping,"{""alışveriş""}",Noun,,,false,A1,ShoppingAndMoney,4,7,2
wm-000436,buy,"{""satın almak""}",Verb,bought,bought,true,A1,ShoppingAndMoney,4,8,2
wm-000464,pay,"{""ödemek""}",Verb,paid,paid,true,A1,ShoppingAndMoney,4,9,2
wm-000471,sell,"{""satmak""}",Verb,sold,sold,true,A1,ShoppingAndMoney,4,10,2
wm-000478,spend,"{""harcamak""}",Verb,spent,spent,true,A1,ShoppingAndMoney,4,11,3
wm-000013,cloudy,"{""bulutlu""}",Adjective,,,false,A1,NatureAndWeather,5,1,1
wm-000014,cold,"{""soğuk""}",Adjective,,,false,A1,NatureAndWeather,5,2,1
wm-000040,hot,"{""sıcak""}",Adjective,,,false,A1,NatureAndWeather,5,3,1
wm-000061,rainy,"{""yağmurlu""}",Adjective,,,false,A1,NatureAndWeather,5,4,1
wm-000071,snowy,"{""karlı""}",Adjective,,,false,A1,NatureAndWeather,5,5,1
wm-000074,sunny,"{""güneşli""}",Adjective,,,false,A1,NatureAndWeather,5,6,2
wm-000079,warm,"{""ılık"",""sıcak""}",Adjective,,,false,A1,NatureAndWeather,5,7,2
wm-000095,air,"{""hava""}",Noun,,,false,A1,NatureAndWeather,5,8,2
wm-000112,beach,"{""plaj"",""sahil""}",Noun,,,false,A1,NatureAndWeather,5,9,2
wm-000184,fire,"{""ateş""}",Noun,,,false,A1,NatureAndWeather,5,10,2
wm-000187,flower,"{""çiçek""}",Noun,,,false,A1,NatureAndWeather,5,11,3
wm-000216,ice,"{""buz""}",Noun,,,false,A1,NatureAndWeather,5,12,3
wm-000219,island,"{""ada""}",Noun,,,false,A1,NatureAndWeather,5,13,3
wm-000254,mountain,"{""dağ""}",Noun,,,false,A1,NatureAndWeather,5,14,3
wm-000298,river,"{""nehir"",""ırmak""}",Noun,,,false,A1,NatureAndWeather,5,15,3
wm-000307,sea,"{""deniz""}",Noun,,,false,A1,NatureAndWeather,5,16,4
wm-000319,snow,"{""kar""}",Noun,,,false,A1,NatureAndWeather,5,17,4
wm-000348,tree,"{""ağaç""}",Noun,,,false,A1,NatureAndWeather,5,18,4
wm-000362,weather,"{""hava durumu""}",Noun,,,false,A1,NatureAndWeather,5,19,4
wm-000018,delicious,"{""lezzetli"",""enfes""}",Adjective,,,false,A1,FoodAndDrink,6,1,1
wm-000098,apple,"{""elma""}",Noun,,,false,A1,FoodAndDrink,6,2,1
wm-000123,bread,"{""ekmek""}",Noun,,,false,A1,FoodAndDrink,6,3,1
wm-000126,burger,"{""hamburger""}",Noun,,,false,A1,FoodAndDrink,6,4,1
wm-000128,butter,"{""tereyağı""}",Noun,,,false,A1,FoodAndDrink,6,5,1
wm-000130,cake,"{""kek"",""pasta""}",Noun,,,false,A1,FoodAndDrink,6,6,2
wm-000137,cheese,"{""peynir""}",Noun,,,false,A1,FoodAndDrink,6,7,2
wm-000140,chocolate,"{""çikolata""}",Noun,,,false,A1,FoodAndDrink,6,8,2
wm-000147,coffee,"{""kahve""}",Noun,,,false,A1,FoodAndDrink,6,9,2
wm-000154,cream,"{""krema"",""kaymak""}",Noun,,,false,A1,FoodAndDrink,6,10,2
wm-000171,egg,"{""yumurta""}",Noun,,,false,A1,FoodAndDrink,6,11,3
wm-000188,food,"{""yiyecek"",""gıda""}",Noun,,,false,A1,FoodAndDrink,6,12,3
wm-000191,fruit,"{""meyve""}",Noun,,,false,A1,FoodAndDrink,6,13,3
wm-000224,juice,"{""meyve suyu""}",Noun,,,false,A1,FoodAndDrink,6,14,3
wm-000241,meal,"{""öğün"",""yemek""}",Noun,,,false,A1,FoodAndDrink,6,15,3
wm-000242,meat,"{""et""}",Noun,,,false,A1,FoodAndDrink,6,16,4
wm-000245,milk,"{""süt""}",Noun,,,false,A1,FoodAndDrink,6,17,4
wm-000286,potato,"{""patates""}",Noun,,,false,A1,FoodAndDrink,6,18,4
wm-000296,rice,"{""pirinç""}",Noun,,,false,A1,FoodAndDrink,6,19,4
wm-000302,salad,"{""salata""}",Noun,,,false,A1,FoodAndDrink,6,20,4
wm-000321,soup,"{""çorba""}",Noun,,,false,A1,FoodAndDrink,6,21,5
wm-000329,sugar,"{""şeker""}",Noun,,,false,A1,FoodAndDrink,6,22,5
wm-000334,tea,"{""çay""}",Noun,,,false,A1,FoodAndDrink,6,23,5
wm-000356,vegetable,"{""sebze""}",Noun,,,false,A1,FoodAndDrink,6,24,5
wm-000358,waiter,"{""garson""}",Noun,,,false,A1,FoodAndDrink,6,25,5
wm-000360,water,"{""su""}",Noun,,,false,A1,FoodAndDrink,6,26,6
wm-000442,drink,"{""içmek""}",Verb,drank,drunk,true,A1,FoodAndDrink,6,27,6
wm-000444,eat,"{""yemek""}",Verb,ate,eaten,true,A1,FoodAndDrink,6,28,6
wm-000030,fat,"{""şişman""}",Adjective,,,false,A1,BodyAndHealth,7,1,1
wm-000038,healthy,"{""sağlıklı""}",Adjective,,,false,A1,BodyAndHealth,7,2,1
wm-000041,hungry,"{""aç"",""acıkmış""}",Adjective,,,false,A1,BodyAndHealth,7,3,1
wm-000068,sick,"{""hasta""}",Adjective,,,false,A1,BodyAndHealth,7,4,1
wm-000077,tired,"{""yorgun"",""bıkmış""}",Adjective,,,false,A1,BodyAndHealth,7,5,1
wm-000101,arm,"{""kol""}",Noun,,,false,A1,BodyAndHealth,7,6,2
wm-000107,back,"{""arka""}",Noun,,,false,A1,BodyAndHealth,7,7,2
wm-000117,body,"{""vücut""}",Noun,,,false,A1,BodyAndHealth,7,8,2
wm-000170,ear,"{""kulak""}",Noun,,,false,A1,BodyAndHealth,7,9,2
wm-000175,eye,"{""göz""}",Noun,,,false,A1,BodyAndHealth,7,10,2
wm-000176,face,"{""yüz""}",Noun,,,false,A1,BodyAndHealth,7,11,3
wm-000203,hair,"{""saç"",""kıl""}",Noun,,,false,A1,BodyAndHealth,7,12,3
wm-000204,hand,"{""el""}",Noun,,,false,A1,BodyAndHealth,7,13,3
wm-000205,head,"{""baş"",""kafa"",""yönetici""}",Noun,,,false,A1,BodyAndHealth,7,14,3
wm-000206,health,"{""sağlık""}",Noun,,,false,A1,BodyAndHealth,7,15,3
wm-000229,leg,"{""bacak""}",Noun,,,false,A1,BodyAndHealth,7,16,4
wm-000256,mouth,"{""ağız""}",Noun,,,false,A1,BodyAndHealth,7,17,4
wm-000265,nurse,"{""hemşire""}",Noun,,,false,A1,BodyAndHealth,7,18,4
wm-000346,tooth,"{""diş""}",Noun,,,false,A1,BodyAndHealth,7,19,4
wm-000390,die,"{""ölmek""}",Verb,died,died,false,A1,BodyAndHealth,7,20,4
wm-000476,sleep,"{""uyumak""}",Verb,slept,slept,true,A1,BodyAndHealth,7,21,5
wm-000485,wake,"{""uyanmak""}",Verb,woke,woken,true,A1,BodyAndHealth,7,22,5
wm-000486,wake up,"{""uyanmak""}",Verb,woke up,woken up,true,A1,BodyAndHealth,7,23,5
wm-000031,few,"{""az""}",Adjective,,,false,A1,General,8,1,1
wm-000152,conversation,"{""konuşma"",""sohbet""}",Noun,,,false,A1,General,8,2,1
wm-000164,difference,"{""fark"",""ayrım""}",Noun,,,false,A1,General,8,3,1
wm-000172,end,"{""son""}",Noun,,,false,A1,General,8,4,1
wm-000177,fact,"{""gerçek"",""olgu""}",Noun,,,false,A1,General,8,5,1
wm-000201,group,"{""grup""}",Noun,,,false,A1,General,8,6,2
wm-000217,idea,"{""fikir""}",Noun,,,false,A1,General,8,7,2
wm-000227,kind,"{""tür"",""çeşit""}",Noun,,,false,A1,General,8,8,2
wm-000232,life,"{""hayat""}",Noun,,,false,A1,General,8,9,2
wm-000233,line,"{""çizgi"",""satır""}",Noun,,,false,A1,General,8,10,2
wm-000258,name,"{""isim""}",Noun,,,false,A1,General,8,11,3
wm-000259,nationality,"{""milliyet"",""uyruk""}",Noun,,,false,A1,General,8,12,3
wm-000264,number,"{""sayı"",""numara""}",Noun,,,false,A1,General,8,13,3
wm-000274,part,"{""parça"",""bölüm""}",Noun,,,false,A1,General,8,14,3
wm-000285,point,"{""puan"",""nokta""}",Noun,,,false,A1,General,8,15,3
wm-000287,problem,"{""sorun""}",Noun,,,false,A1,General,8,16,4
wm-000293,reason,"{""neden""}",Noun,,,false,A1,General,8,17,4
wm-000295,result,"{""sonuç""}",Noun,,,false,A1,General,8,18,4
wm-000297,right,"{""hak""}",Noun,,,false,A1,General,8,19,4
wm-000341,thing,"{""şey""}",Noun,,,false,A1,General,8,20,4
wm-000352,type,"{""tür"",""çeşit""}",Noun,,,false,A1,General,8,21,5
wm-000361,way,"{""yol""}",Noun,,,false,A1,General,8,22,5
wm-000085,one,"{""bir""}",Number,,,false,A1,Numbers,9,1,1
wm-000086,sixteen,"{""on altı""}",Number,,,false,A1,Numbers,9,2,1
wm-000087,ten,"{""on""}",Number,,,false,A1,Numbers,9,3,1
wm-000088,three,"{""üç""}",Number,,,false,A1,Numbers,9,4,1
wm-000089,two,"{""iki""}",Number,,,false,A1,Numbers,9,5,1
wm-000090,action,"{""eylem"",""hareket""}",Noun,,,false,A1,Actions,10,1,1
wm-000091,activity,"{""etkinlik"",""faaliyet""}",Noun,,,false,A1,Actions,10,2,1
wm-000136,change,"{""değişim""}",Noun,,,false,A1,Actions,10,3,1
wm-000380,add,"{""eklemek"",""ilave etmek""}",Verb,added,added,false,A1,Actions,10,4,1
wm-000381,agree,"{""katılmak"",""aynı fikirde olmak""}",Verb,agreed,agreed,false,A1,Actions,10,5,1
wm-000382,arrive,"{""varmak"",""ulaşmak""}",Verb,arrived,arrived,false,A1,Actions,10,6,2
wm-000383,ask,"{""sormak"",""istemek""}",Verb,asked,asked,false,A1,Actions,10,7,2
wm-000384,believe,"{""inanmak""}",Verb,believed,believed,false,A1,Actions,10,8,2
wm-000385,call,"{""aramak"",""çağırmak""}",Verb,called,called,false,A1,Actions,10,9,2
wm-000386,carry,"{""taşımak"",""götürmek""}",Verb,carried,carried,false,A1,Actions,10,10,2
wm-000387,change,"{""değiştirmek""}",Verb,changed,changed,false,A1,Actions,10,11,3
wm-000388,create,"{""oluşturmak""}",Verb,created,created,false,A1,Actions,10,12,3
wm-000389,describe,"{""tanımlamak"",""tarif etmek""}",Verb,described,described,false,A1,Actions,10,13,3
wm-000391,discuss,"{""tartışmak"",""görüşmek""}",Verb,discussed,discussed,false,A1,Actions,10,14,3
wm-000394,fill,"{""doldurmak""}",Verb,filled,filled,false,A1,Actions,10,15,3
wm-000395,follow,"{""takip etmek""}",Verb,followed,followed,false,A1,Actions,10,16,4
wm-000396,guess,"{""tahmin etmek"",""sanmak""}",Verb,guessed,guessed,false,A1,Actions,10,17,4
wm-000397,happen,"{""gerçekleşmek""}",Verb,happened,happened,false,A1,Actions,10,18,4
wm-000398,help,"{""yardım etmek""}",Verb,helped,helped,false,A1,Actions,10,19,4
wm-000399,imagine,"{""hayal etmek"",""düşünmek""}",Verb,imagined,imagined,false,A1,Actions,10,20,4
wm-000400,include,"{""dahil etmek""}",Verb,included,included,false,A1,Actions,10,21,5
wm-000401,introduce,"{""tanıtmak"",""tanıştırmak""}",Verb,introduced,introduced,false,A1,Actions,10,22,5
wm-000402,join,"{""katılmak"",""birleşmek""}",Verb,joined,joined,false,A1,Actions,10,23,5
wm-000403,laugh,"{""gülmek"",""kahkaha atmak""}",Verb,laughed,laughed,false,A1,Actions,10,24,5
wm-000406,listen,"{""dinlemek""}",Verb,listened,listened,false,A1,Actions,10,25,5
wm-000407,live,"{""yaşamak""}",Verb,lived,lived,false,A1,Actions,10,26,6
wm-000408,look,"{""bakmak""}",Verb,looked,looked,false,A1,Actions,10,27,6
wm-000410,move,"{""hareket etmek""}",Verb,moved,moved,false,A1,Actions,10,28,6
wm-000411,need,"{""ihtiyaç duymak""}",Verb,needed,needed,false,A1,Actions,10,29,6
wm-000412,open,"{""açmak""}",Verb,opened,opened,false,A1,Actions,10,30,6
wm-000414,remember,"{""hatırlamak""}",Verb,remembered,remembered,false,A1,Actions,10,31,7
wm-000415,repeat,"{""tekrarlamak"",""yinelemek""}",Verb,repeated,repeated,false,A1,Actions,10,32,7
wm-000416,share,"{""paylaşmak""}",Verb,shared,shared,false,A1,Actions,10,33,7
wm-000417,start,"{""başlamak""}",Verb,started,started,false,A1,Actions,10,34,7
wm-000418,stay,"{""kalmak""}",Verb,stayed,stayed,false,A1,Actions,10,35,7
wm-000419,stop,"{""durdurmak"",""durmak""}",Verb,stopped,stopped,false,A1,Actions,10,36,8
wm-000420,talk,"{""konuşmak""}",Verb,talked,talked,false,A1,Actions,10,37,8
wm-000421,thank,"{""teşekkür etmek""}",Verb,thanked,thanked,false,A1,Actions,10,38,8
wm-000423,try,"{""denemek""}",Verb,tried,tried,false,A1,Actions,10,39,8
wm-000424,turn,"{""dönmek""}",Verb,turned,turned,false,A1,Actions,10,40,8
wm-000425,use,"{""kullanmak""}",Verb,used,used,false,A1,Actions,10,41,9
wm-000426,wait,"{""beklemek""}",Verb,waited,waited,false,A1,Actions,10,42,9
wm-000427,walk,"{""yürümek""}",Verb,walked,walked,false,A1,Actions,10,43,9
wm-000428,want,"{""istemek""}",Verb,wanted,wanted,false,A1,Actions,10,44,9
wm-000429,watch,"{""izlemek""}",Verb,watched,watched,false,A1,Actions,10,45,9
wm-000431,be,"{""olmak""}",Verb,was/were,been,true,A1,Actions,10,46,10
wm-000432,become,"{""olmak""}",Verb,became,become,true,A1,Actions,10,47,10
wm-000433,begin,"{""başlamak""}",Verb,began,begun,true,A1,Actions,10,48,10
wm-000434,bring,"{""getirmek""}",Verb,brought,brought,true,A1,Actions,10,49,10
wm-000435,build,"{""inşa etmek""}",Verb,built,built,true,A1,Actions,10,50,10
wm-000437,choose,"{""seçmek""}",Verb,chose,chosen,true,A1,Actions,10,51,11
wm-000438,come,"{""gelmek""}",Verb,came,come,true,A1,Actions,10,52,11
wm-000439,cut,"{""kesmek""}",Verb,cut,cut,true,A1,Actions,10,53,11
wm-000440,do,"{""yapmak"",""etmek""}",Verb,did,done,true,A1,Actions,10,54,11
wm-000445,fall,"{""düşmek""}",Verb,fell,fallen,true,A1,Actions,10,55,11
wm-000446,feel,"{""hissetmek""}",Verb,felt,felt,true,A1,Actions,10,56,12
wm-000447,find,"{""bulmak""}",Verb,found,found,true,A1,Actions,10,57,12
wm-000449,forget,"{""unutmak""}",Verb,forgot,forgotten,true,A1,Actions,10,58,12
wm-000450,get,"{""almak""}",Verb,got,gotten,true,A1,Actions,10,59,12
wm-000451,give,"{""vermek""}",Verb,gave,given,true,A1,Actions,10,60,12
wm-000452,go,"{""gitmek""}",Verb,went,gone,true,A1,Actions,10,61,13
wm-000453,grow,"{""büyümek""}",Verb,grew,grown,true,A1,Actions,10,62,13
wm-000454,have,"{""sahip olmak""}",Verb,had,had,true,A1,Actions,10,63,13
wm-000455,hear,"{""duymak""}",Verb,heard,heard,true,A1,Actions,10,64,13
wm-000456,keep,"{""tutmak""}",Verb,kept,kept,true,A1,Actions,10,65,13
wm-000457,know,"{""bilmek""}",Verb,knew,known,true,A1,Actions,10,66,14
wm-000458,leave,"{""ayrılmak""}",Verb,left,left,true,A1,Actions,10,67,14
wm-000459,let,"{""bırakmak"",""izin vermek""}",Verb,let,let,true,A1,Actions,10,68,14
wm-000460,lose,"{""kaybetmek""}",Verb,lost,lost,true,A1,Actions,10,69,14
wm-000461,make,"{""yapmak""}",Verb,made,made,true,A1,Actions,10,70,14
wm-000462,mean,"{""demek istemek""}",Verb,meant,meant,true,A1,Actions,10,71,15
wm-000463,meet,"{""buluşmak""}",Verb,met,met,true,A1,Actions,10,72,15
wm-000465,put,"{""koymak""}",Verb,put,put,true,A1,Actions,10,73,15
wm-000468,run,"{""koşmak""}",Verb,ran,run,true,A1,Actions,10,74,15
wm-000469,say,"{""demek"",""söylemek""}",Verb,said,said,true,A1,Actions,10,75,15
wm-000470,see,"{""görmek""}",Verb,saw,seen,true,A1,Actions,10,76,16
wm-000472,send,"{""göndermek""}",Verb,sent,sent,true,A1,Actions,10,77,16
wm-000473,show,"{""göstermek""}",Verb,showed,shown,true,A1,Actions,10,78,16
wm-000475,sit,"{""oturmak""}",Verb,sat,sat,true,A1,Actions,10,79,16
wm-000477,speak,"{""konuşmak""}",Verb,spoke,spoken,true,A1,Actions,10,80,16
wm-000479,stand,"{""durmak""}",Verb,stood,stood,true,A1,Actions,10,81,17
wm-000480,take,"{""almak""}",Verb,took,taken,true,A1,Actions,10,82,17
wm-000482,tell,"{""söylemek""}",Verb,told,told,true,A1,Actions,10,83,17
wm-000483,think,"{""düşünmek""}",Verb,thought,thought,true,A1,Actions,10,84,17
wm-000484,understand,"{""anlamak""}",Verb,understood,understood,true,A1,Actions,10,85,17
wm-000488,win,"{""kazanmak""}",Verb,won,won,true,A1,Actions,10,86,18
wm-000092,actor,"{""oyuncu"",""aktör""}",Noun,,,false,A1,ArtsAndEntertainment,11,1,1
wm-000102,art,"{""sanat""}",Noun,,,false,A1,ArtsAndEntertainment,11,2,1
wm-000141,cinema,"{""sinema""}",Noun,,,false,A1,ArtsAndEntertainment,11,3,1
wm-000151,concert,"{""konser""}",Noun,,,false,A1,ArtsAndEntertainment,11,4,1
wm-000155,culture,"{""kültür""}",Noun,,,false,A1,ArtsAndEntertainment,11,5,1
wm-000162,design,"{""tasarım""}",Noun,,,false,A1,ArtsAndEntertainment,11,6,2
wm-000183,festival,"{""festival"",""şenlik""}",Noun,,,false,A1,ArtsAndEntertainment,11,7,2
wm-000202,guitar,"{""gitar""}",Noun,,,false,A1,ArtsAndEntertainment,11,8,2
wm-000257,music,"{""müzik""}",Noun,,,false,A1,ArtsAndEntertainment,11,9,2
wm-000269,painting,"{""tablo"",""resim""}",Noun,,,false,A1,ArtsAndEntertainment,11,10,2
wm-000276,party,"{""parti""}",Noun,,,false,A1,ArtsAndEntertainment,11,11,3
wm-000282,piano,"{""piyano""}",Noun,,,false,A1,ArtsAndEntertainment,11,12,3
wm-000315,singer,"{""şarkıcı""}",Noun,,,false,A1,ArtsAndEntertainment,11,13,3
wm-000441,draw,"{""çizmek""}",Verb,drew,drawn,true,A1,ArtsAndEntertainment,11,14,3
wm-000474,sing,"{""şarkı söylemek""}",Verb,sang,sung,true,A1,ArtsAndEntertainment,11,15,3
wm-000093,afternoon,"{""öğleden sonra""}",Noun,,,false,A1,CalendarAndTime,12,1,1
wm-000094,age,"{""yaş"",""çağ""}",Noun,,,false,A1,CalendarAndTime,12,2,1
wm-000106,autumn,"{""sonbahar"",""güz""}",Noun,,,false,A1,CalendarAndTime,12,3,1
wm-000115,birthday,"{""doğum günü""}",Noun,,,false,A1,CalendarAndTime,12,4,1
wm-000145,clock,"{""saat""}",Noun,,,false,A1,CalendarAndTime,12,5,1
wm-000160,day,"{""gün""}",Noun,,,false,A1,CalendarAndTime,12,6,2
wm-000173,evening,"{""akşam""}",Noun,,,false,A1,CalendarAndTime,12,7,2
wm-000192,future,"{""gelecek""}",Noun,,,false,A1,CalendarAndTime,12,8,2
wm-000213,hour,"{""saat""}",Noun,,,false,A1,CalendarAndTime,12,9,2
wm-000246,minute,"{""dakika""}",Noun,,,false,A1,CalendarAndTime,12,10,2
wm-000248,moment,"{""an""}",Noun,,,false,A1,CalendarAndTime,12,11,3
wm-000251,month,"{""ay""}",Noun,,,false,A1,CalendarAndTime,12,12,3
wm-000252,morning,"{""sabah""}",Noun,,,false,A1,CalendarAndTime,12,13,3
wm-000262,night,"{""gece""}",Noun,,,false,A1,CalendarAndTime,12,14,3
wm-000279,period,"{""dönem"",""süre""}",Noun,,,false,A1,CalendarAndTime,12,15,3
wm-000323,spring,"{""ilkbahar""}",Noun,,,false,A1,CalendarAndTime,12,16,4
wm-000344,time,"{""zaman""}",Noun,,,false,A1,CalendarAndTime,12,17,4
wm-000364,week,"{""hafta""}",Noun,,,false,A1,CalendarAndTime,12,18,4
wm-000365,weekend,"{""hafta sonu""}",Noun,,,false,A1,CalendarAndTime,12,19,4
wm-000372,year,"{""yıl""}",Noun,,,false,A1,CalendarAndTime,12,20,4
wm-000373,yesterday,"{""dün""}",Noun,,,false,A1,CalendarAndTime,12,21,5
wm-000096,airport,"{""havalimanı"",""havaalanı""}",Noun,,,false,A1,TravelAndHolidays,13,1,1
wm-000209,holiday,"{""tatil"",""bayram""}",Noun,,,false,A1,TravelAndHolidays,13,2,1
wm-000212,hotel,"{""otel""}",Noun,,,false,A1,TravelAndHolidays,13,3,1
wm-000349,trip,"{""gezi"",""yolculuk""}",Noun,,,false,A1,TravelAndHolidays,13,4,1
wm-000355,vacation,"{""tatil"",""izin""}",Noun,,,false,A1,TravelAndHolidays,13,5,1
